Year,average_co2_ppm,Uncertainty
1959,315,0.12
1960,316,0.12
1961,317,0.12
1962,318,0.12
1963,318,0.12
1964,319,0.12
1965,320,0.12
1966,321,0.12
1967,322,0.12
1968,323,0.12
1969,324,0.12
1970,325,0.12
1971,326,0.12
1972,327,0.12
1973,329,0.12
1974,330,0.12
1975,331,0.12
1976,332,0.12
1977,333,0.12
1978,335,0.12
1979,336,0.12
1980,338,0.12
1981,340,0.12
1982,341,0.12
1983,343,0.12
1984,344,0.12
1985,346,0.12
1986,347,0.12
1987,349,0.12
1988,351,0.12
1989,353,0.12
1990,354,0.12
1991,355,0.12
1992,356,0.12
1993,357,0.12
1994,358,0.12
1995,360,0.12
1996,362,0.12
1997,363,0.12
1998,366,0.12
1999,368,0.12
2000,369,0.12
2001,371,0.12
2002,373,0.12
2003,375,0.12
2004,377,0.12
2005,379,0.12
2006,381,0.12
2007,383,0.12
2008,385,0.12
2009,387,0.12
2010,389,0.12
2011,391,0.12
2012,393,0.12
2013,396,0.12
2014,398,0.12
2015,400,0.12
2016,404,0.12
2017,406,0.12
