Action,Percent_of_respondent,url
Recycle/Recycle more,39,https://theconversation.com/is-there-any-point-in-recycling-109550
Drive less/Consolidate trips/Carpool,17,https://www.nationalgeographic.com/environment/green-guide/buying-guides/car/environmental-impact/
Buy biodegradable products,14,https://www.accc.gov.au/system/files/Biodegradable%2C%20degradable%20and%20recyclable%20claims%20on%20plastic%20bags.pdf
Use less electricity/Conserve energy,10,https://www.theguardian.com/environment/2012/jun/08/energy-efficiency-carbon-savings
Drive more fuel-efficient car/Maintain car,9,https://www.theguardian.com/environment/2020/mar/23/electric-cars-produce-less-co2-than-petrol-vehicles-study-confirms
"Buy/Use more ""green"" products",7,https://theconversation.com/green-is-the-new-black-why-retailers-want-you-to-know-about-their-green-credentials-99073
Use energy-saving light bulbs,7,https://www.independent.co.uk/environment/a-bright-idea-how-changing-light-bulbs-helps-beat-global-warming-and-cut-bills-406494.html
Eat more organic/home-grown foods,5,http://sydney.edu.au/environment-institute/opinion/organic-food-sustainable/
Conserve water,5,https://www.theguardian.com/environment/2019/may/06/australias-capital-cities-face-water-restrictions-as-dams-near-50
Upgrade to energy-saving appliances in home,4,https://theconversation.com/energy-smart-appliances-cut-australian-power-bills-by-billions-25816
Don't litter,3,https://www.smh.com.au/politics/federal/australians-still-trashing-their-beaches-and-streets-national-report-finds-20180124-h0n9ar.html
Make home more energy efficient (e.g solar panel),2,https://www.smh.com.au/environment/climate-change/remarkable-jump-in-solar-pv-installations-even-as-power-prices-eased-20200402-p54gai.html
None/Nothing,2,https://www.google.com/
No opinion,12,https://www.google.com/
