Country,Cement,Gas Flaring,Gas Fuel,Liquid Fuel,Solid Fuel,Total
CHINA (MAINLAND),338912,0,96504,344725,2026492,2806634
UNITED STATES OF AMERICA,11314,4244,390719,576531,450047,1432855
INDIA,37400,457,25278,140199,407077,610411
RUSSIAN FEDERATION,9322,5755,232204,107368,110403,465052
JAPAN,7876,0,67342,133395,122461,331074
GERMANY,4365,5,39582,68263,84098,196314
ISLAMIC REPUBLIC OF IRAN,8976,9450,91127,66662,900,177115
SAUDI ARABIA,7782,5,43430,112689,0,163907
REPUBLIC OF KOREA,6399,0,26942,42616,84161,160119
CANADA,1616,1059,55436,67717,20667,146494
BRAZIL,9691,949,21297,92454,20089,144480
SOUTH AFRICA,1642,0,2404,16448,113068,133562
MEXICO,4760,1678,37801,73374,13358,130971
INDONESIA,7888,4612,17035,63677,33370,126582
UNITED KINGDOM,1218,573,37340,44274,31081,114486
AUSTRALIA,1224,157,19800,32778,44558,98517
TURKEY,9701,0,25111,21662,37875,94350
ITALY (INCLUDING SAN MARINO),2910,0,31670,39265,13532,87377
THAILAND,4757,0,23633,41230,16612,86232
FRANCE (INCLUDING MONACO),2312,0,20358,50615,9419,82704
